numero_expediente,tipo_obra,fecha_inicio_expediente,registro_obra_mes,registro_obra_anio,metros_cuadrados_obra,direccion_obra,seccion_manzana_parcela,lat,long,altura_obra,calle_obra,barrio_obra,comuna_obra,cp_obra,cpa_obra
1161240/2009,OBRA NUEVA,2009-09-16,ENERO,2012,88.27,PALPA 2515,037-140-019,-34.5711460960154,-58.447319169902,2515,PALPA ,Colegiales,Comuna 13,1426,C1426DOE
1216176/2009,OBRA NUEVA,2009-09-30,ENERO,2012,1968.55,GAMARRA 1855,051-050A-018,-34.5798913192271,-58.4799737608206,1855,GAMARRA ,Villa Urquiza,Comuna 12,1431,C1431FFG
1224756/2009,OBRA NUEVA,2009-10-01,ENERO,2012,589.71,AGUERO 859,013-063-019,-34.6002621588278,-58.4099221673713,859,AGUERO ,Balvanera,Comuna 3,1171,C1171ABM
1306451/2009,MODIFICACION,2009-10-22,ENERO,2012,3703.78,"GARCIA, TEODORO 2946",037-095-015,-34.5754861720408,-58.4483008046666,2946,"GARCIA, TEODORO ",Colegiales,Comuna 13,1426,C1426DND
1337282/2009,OBRA NUEVA,2009-10-29,ENERO,2012,555.63,FRANCO 3144,075-004-006,-34.5841356063196,-58.5089085803275,3144,FRANCO ,Villa Pueyrredon,Comuna 12,1419,C1419FIH
1430155/2009,MODIFICACION Y DEMOLICION PARCIAL,2009-11-23,ENERO,2012,162.29,"JUAREZ, BENITO 2026",085-046A-029,-34.6215535803956,-58.5035218058072,2026,"JUAREZ, BENITO ",Monte Castro,Comuna 10,1407,C1407CRH
217730/2010,OBRA NUEVA,2010-03-11,ENERO,2012,948.5,LLAVALLOL 4436,083-197-018,-34.5929687211356,-58.5065436751761,4436,LLAVALLOL ,Villa Devoto,Comuna 11,1419,C1419AKJ
284403/2010,MODIFICACION,2010-03-26,ENERO,2012,3794.06,"GARCIA, TEODORO 2310",023-024-005b,-34.5688843495539,-58.4438208839597,2310,"GARCIA, TEODORO ",Palermo,Comuna 14,1426,C1426DMP
350512/2010,DEMOLICION TOTAL,2010-04-13,ENERO,2012,86.82,PARAGUAY 3475,015-008-018,-34.5928924482076,-58.4133936746662,3475,PARAGUAY ,Palermo,Comuna 14,1425,C1425BRS
489542/2010,OBRA NUEVA,2010-05-13,ENERO,2012,0,BONPLAND 2269,035-100-014,-34.5796227538006,-58.4314812069906,2269,BONPLAND ,Palermo,Comuna 14,1425,C1425FWC
537048/2010,OBRA NUEVA,2010-05-27,ENERO,2012,906.15,FRANCO 3164,075-004-007,-34.5841809039563,-58.5089867044601,3164,FRANCO ,Villa Pueyrredon,Comuna 12,1419,C1419FIH
556607/2010,OBRA NUEVA,2010-06-01,ENERO,2012,709.1,MENDOZA 5729,051-013-024a,-34.5809995838337,-58.4895775958867,5729,MENDOZA ,Villa Urquiza,Comuna 12,1431,C1431CIY
560651/2010,MODIFICACION Y DEMOLICION PARCIAL,2010-06-02,ENERO,2012,205.55,CONDARCO 4030,071-073-029,-34.590302855254,-58.4951200302787,4030,CONDARCO ,Agronomia,Comuna 15,1419,C1419DPJ
639627/2010,MODIFICACION Y DEMOLICION PARCIAL,2010-06-18,ENERO,2012,76.52,LASCANO 2377,069-079-025,-34.6037052477508,-58.4777497650219,2377,LASCANO ,Villa Del Parque,Comuna 11,1417,C1417GYA
723500/2010,AMPLIACION,2010-07-08,ENERO,2012,18.3,"ALBERDI, JUAN BAUTISTA 1101",042-093-015f,-34.6234383819431,-58.443271744108,1101,"ALBERDI, JUAN BAUTISTA ",Caballito,Comuna 6,1406,C1406GRA
899699/2010,MODIFICACION,2010-08-17,ENERO,2012,458.33,AZURDUY JUANA 1703,027-066-001,-34.5475852518304,-58.4598877899217,1703,AZURDUY JUANA ,Nu\u00f1ez,Comuna 13,1429,C1429BYE
907773/2010,OBRA NUEVA,2010-08-18,ENERO,2012,1363.38,"SAENZ PENA, LUIS, PRES, 1671",016-036-027,-34.6288056882373,-58.3867036041587,1671,"SAENZ PENA, LUIS, PRES, ",,,,
920641/2010,OBRA NUEVA,2010-08-20,ENERO,2012,1274.4,VIAMONTE 2110,009-056-002,-34.6016273116073,-58.3966925956171,2110,VIAMONTE ,Balvanera,Comuna 3,1056,C1056ABH
937252/2010,MODIFICACION,2010-08-24,ENERO,2012,21.54,ARCOS 1622,023-055-034a,-34.5654594056042,-58.4496729850587,1622,ARCOS ,Belgrano,Comuna 13,1426,C1426BGL
937285/2010,OBRA NUEVA,2010-08-24,ENERO,2012,635.06,GARCIA DEL RIO 3124,043-095-002a,-34.5507408234741,-58.4758153195455,3124,GARCIA DEL RIO ,Saavedra,Comuna 12,1429,C1429DEU
1037591/2010,DEMOLICION TOTAL,2010-09-10,ENERO,2012,2152.03,ALVAREZ JONTE 3282,079-145A-005b,-34.6108128207319,-58.4879301071479,3282,ALVAREZ JONTE ,Villa Santa Rita,Comuna 11,1416,C1416EYR
1046219/2010,AMPLIACION,2010-09-13,ENERO,2012,220.35,AGUILAR 2021,023-040-021a,-34.5668604354893,-58.4444920485697,2021,AGUILAR ,Palermo,Comuna 14,1426,C1426DSA
1066955/2010,OBRA NUEVA Y DEMOLICION TOTAL,2010-09-16,ENERO,2012,1176.04,GORRITI 3758,019-005-009,-34.5962621983857,-58.4172055595904,3758,GORRITI ,Palermo,Comuna 14,1172,C1172ACH
1240721/2010,OBRA NUEVA,2010-10-19,ENERO,2012,366.36,"TAMBORINI, JOSE PASCUAL 5509",063-084A-019,-34.5689425787146,-58.495821845803,5509,"TAMBORINI, JOSE PASCUAL ",Villa Urquiza,Comuna 12,1431,C1431AGS
1255854/2010,MODIFICACION Y DEMOLICION PARCIAL,2010-10-21,ENERO,2012,831.71,SALTA 245,012-046-036,-34.6119134425254,-58.3828968825194,245,SALTA ,Monserrat,Comuna 1,1074,C1074AAE
1400710/2010,MODIFICACION Y DEMOLICION PARCIAL,2010-11-17,ENERO,2012,235.17,"MONNER SANS, RICARDO 4456",081-005A-013,-34.6137775481527,-58.5051372576876,4456,"MONNER SANS, RICARDO ",Monte Castro,Comuna 10,1417,C1417FWB
1537451/2010,OBRA NUEVA,2010-12-14,ENERO,2012,1157.93,NUNEZ 5917,063-048-024a,-34.5680268175501,-58.5014060205557,5917,NUNEZ ,,,,
1576614/2010,OBRA NUEVA,2010-12-21,ENERO,2012,241.94,NAZCA 3521,071-055-020,-34.5951354292517,-58.4937322153434,3521,NAZCA ,Agronomia,Comuna 15,1419,C1419DEA
1605492/2010,MODIFICACION Y DEMOLICION PARCIAL,2010-12-28,ENERO,2012,86.94,DARWIN 971,031-034-003,-34.5921324296688,-58.4411663895872,971,DARWIN ,Villa Crespo,Comuna 15,1414,C1414CUS
95361/2011,OBRA NUEVA,2011-01-21,ENERO,2012,477.04,OLIVERA 973,054-008-028,-34.6497363915838,-58.4832694780937,973,OLIVERA ,Parque Avellaneda,Comuna 9,1407,C1407INJ
232019/2011,OBRA NUEVA,2011-02-22,ENERO,2012,352.41,"DIAZ, CESAR, GRAL, 5375",091-100A-016,-34.6323936139642,-58.5022973837536,5375,"DIAZ, CESAR, GRAL, ",Villa Luro,Comuna 10,1407,C1407EUO
327543/2011,OBRA NUEVA,2011-03-14,ENERO,2012,1190.91,ZABALA 2675,037-132-016,-34.5707386047935,-58.4505811905149,2675,ZABALA ,Colegiales,Comuna 13,1426,C1426DQW
352630/2011,OBRA NUEVA,2011-03-17,ENERO,2012,686.26,QUESADA 1572,027-093-017a,-34.5505623601644,-58.4542879896878,1572,QUESADA ,Nu\u00f1ez,Comuna 13,1429,C1429CNB
372117/2011,OBRA NUEVA Y DEMOLICION TOTAL,2011-03-21,ENERO,2012,1231.79,MENDEZ DE ANDES 1816,057-026-012a,-34.6199546403346,-58.4578960526511,1816,MENDEZ DE ANDES ,Flores,Comuna 7,1406,C1406FUJ
488503/2011,MODIFICACION Y DEMOLICION PARCIAL,2011-04-07,ENERO,2012,108.14,"ALVAREZ, JULIAN 444",031-014-023a,-34.6006711079713,-58.4352257464286,444,"ALVAREZ, JULIAN ",Villa Crespo,Comuna 15,1414,C1414DRJ
559787/2011,MODIFICACION Y DEMOLICION PARCIAL,2011-04-18,ENERO,2012,9468.66,RODRIGUEZ PENA 252,005-003-033,-34.606537510313,-58.3906079658389,252,RODRIGUEZ PENA ,,,,
580706/2011,OBRA NUEVA,2011-04-20,ENERO,2012,1502,CURAPALIGUE 153,042-020-026,-34.6278037971443,-58.4528329725768,153,CURAPALIGUE ,Flores,Comuna 7,1406,C1406DAB
599447/2011,OBRA NUEVA,2011-04-26,ENERO,2012,2090.58,BOYACA 920,065-118-031,-34.6177017955838,-58.463021920542,920,BOYACA ,Flores,Comuna 7,1406,C1406BHR
824923/2011,OBRA NUEVA,2011-05-27,ENERO,2012,2127.5,"GRANADA, NICOLAS 1651",059-119B-023,-34.6031019232582,-58.4613968025671,1651,"GRANADA, NICOLAS ",Paternal,Comuna 15,1416,C1416FKA
885121/2011,OBRA NUEVA,2011-06-06,ENERO,2012,579.51,MORENO 3280,028-030-009,-34.6146920060155,-58.4118643079715,3280,MORENO ,Balvanera,Comuna 3,1209,C1209ABJ
926680/2011,OBRA NUEVA,2011-06-10,ENERO,2012,1530.66,"VIALE, LUIS 2366",067-095-008,-34.6165979639082,-58.4676443949783,2366,"VIALE, LUIS ",Villa Gral. Mitre,Comuna 11,1416,C1416DNL
972029/2011,OBRA NUEVA,2011-06-16,ENERO,2012,24.5,"VEGA, NICETO, CNEL, 5924",033-071-003,-34.5849272182796,-58.442412456008,5924,"VEGA, NICETO, CNEL, ",,,,
1031554/2011,MODIFICACION Y DEMOLICION PARCIAL,2011-06-27,ENERO,2012,144.83,DEL FOMENTISTA 3140,075-008A-005,-34.5810111169788,-58.5115134920293,3140,DEL FOMENTISTA ,Villa Pueyrredon,Comuna 12,1419,C1419FOO
1042746/2011,OBRA NUEVA,2011-06-28,ENERO,2012,782.15,ARIAS 3091,043-108-015,-34.5448257809568,-58.4794548752433,3091,ARIAS ,Saavedra,Comuna 12,1429,C1429DYA
1099245/2011,OBRA NUEVA,2011-07-05,ENERO,2012,1415.33,"SALGUERO, JERONIMO 1733",019-126-030,-34.5904708709206,-58.4159023244292,1733,"SALGUERO, JERONIMO ",Palermo,Comuna 14,1425,C1425DEB
1125886/2011,OBRA NUEVA,2011-07-08,ENERO,2012,54.17,GAVILAN 427,065-112-010,-34.6245306220887,-58.4609766209563,427,GAVILAN ,Flores,Comuna 7,1406,C1406BBE
1240123/2011,OBRA NUEVA,2011-07-25,ENERO,2012,926.46,URIARTE 961,031-057-009a,-34.5924057973484,-58.4378073652612,961,URIARTE ,Villa Crespo,Comuna 15,1414,C1414DAC
1247313/2011,MODIFICACION,2011-07-26,ENERO,2012,2153.63,"CAMPOS, LUIS M, 398",023-008-000d,-34.5722350219583,-58.4362535994709,398,"CAMPOS, LUIS M, ",Palermo,Comuna 14,1426,C1426BOO
1314148/2011,DEMOLICION TOTAL,2011-08-05,ENERO,2012,3310.64,RIVADAVIA 896,002-009-008c,-34.6089394870809,-58.3784791359276,896,RIVADAVIA ,Monserrat,Comuna 1,1002,C1002AAT
1354569/2011,OBRA NUEVA,2011-08-10,ENERO,2012,111.54,"CABRERA, JOSE A, 2948",015-113-005,-34.597643316409,-58.4076932263079,2948,"CABRERA, JOSE A, ",Recoleta,Comuna 2,1186,C1186AAD
1364328/2011,MODIFICACION,2011-08-11,ENERO,2012,23886.62,"COSSENTTINI, OLGA 1558",098-001L-002,-34.6161199283668,-58.3621094356027,1558,"COSSENTTINI, OLGA ",,,,
1393606/2011,OBRA NUEVA,2011-08-16,ENERO,2012,55.36,"ALVAREZ, JULIAN 1946",019-103-025,-34.5900689969228,-58.4193398331617,1946,"ALVAREZ, JULIAN ",Palermo,Comuna 14,1425,C1425DHB
1403676/2011,DEMOLICION TOTAL,2011-08-17,ENERO,2012,57.64,SENILLOSA 442,040-143-007a,-34.6218989837806,-58.4283954325721,442,SENILLOSA ,Caballito,Comuna 6,1424,C1424BOJ
1403443/2011,OBRA NUEVA,2011-08-17,ENERO,2012,54.24,"BALBIN, RICARDO, DR, 2409",039-066-011,-34.5629556531314,-58.4645102008444,2409,"BALBIN, RICARDO, DR, ",Belgrano,Comuna 13,1428,C1428CVB
1411837/2011,MODIFICACION,2011-08-18,ENERO,2012,3131,GURRUCHAGA 2121,019-118-014a,-34.58667443262,-58.4234035698364,2121,GURRUCHAGA ,Palermo,Comuna 14,1425,C1425FEE
1431946/2011,OBRA NUEVA,2011-08-23,ENERO,2012,55.31,ASAMBLEA 140,040-120-005,-34.6323003889541,-58.4270893221079,140,ASAMBLEA ,Parque Chacabuco,Comuna 7,1424,C1424COO
1461752/2011,OBRA NUEVA,2011-08-26,ENERO,2012,1449.38,DIRECTORIO 3302,054-190-001,-34.6376566223524,-58.4718737978502,3302,DIRECTORIO ,Parque Avellaneda,Comuna 9,1407,C1407HFN
1464559/2011,OBRA NUEVA,2011-08-26,ENERO,2012,0,"FALCON, RAMON L,,CNEL, 4380",054-084B-005,-34.6375393303453,-58.488022635019,4380,"FALCON, RAMON L,,CNEL, ",Velez Sarsfield,Comuna 10,1407,C1407GSV
1474797/2011,OBRA NUEVA,2011-08-29,ENERO,2012,754.66,"ARANGUREN, JUAN F,, DR, 3289",077-152-020,-34.6267317351866,-58.4764226122885,3289,"ARANGUREN, JUAN F,, DR, ",,,,
1550995/2011,MODIFICACION,2011-09-07,ENERO,2012,14204.96,DEL LIBERTADOR 6021,025-070-015e,-34.5567595979612,-58.4470395195514,6021,DEL LIBERTADOR ,Belgrano,Comuna 13,1428,C1428ARD
1560765/2011,MODIFICACION,2011-09-08,ENERO,2012,989.32,EPECUEN 4746,083-200B-018,-34.590891560793,-58.5095871324932,4746,EPECUEN ,Villa Devoto,Comuna 11,1419,C1419AMB
1568224/2011,OBRA NUEVA,2011-09-09,ENERO,2012,55.42,"PEDRAZA, MANUELA 1680",027-075-003a,-34.5483579893326,-58.4586654732081,1680,"PEDRAZA, MANUELA ",Nu\u00f1ez,Comuna 13,1429,C1429CBD
1631414/2011,MODIFICACION,2011-09-19,ENERO,2012,0,"CALVO, CARLOS 2756",030-095-006b,-34.6220814748313,-58.4030863278759,2756,"CALVO, CARLOS ",San Cristobal,Comuna 3,1230,C1230AAT
1681976/2011,OBRA NUEVA,2011-09-26,ENERO,2012,320.29,MORON 5088,077-004-012,-34.6333090800715,-58.4995116817792,5088,MORON ,Villa Luro,Comuna 10,1407,C1407EOJ
1730087/2011,MODIFICACION,2011-10-03,ENERO,2012,1269.44,MILLER 2277,051-083-014i,-34.5736995742622,-58.4787389689481,2277,MILLER ,Villa Urquiza,Comuna 12,1431,C1431GDI
1732817/2011,OBRA NUEVA,2011-10-03,ENERO,2012,1643.35,"RAVIGNANI, EMILIO, DR, 1453",033-083C-005,-34.5846284405122,-58.4410808995082,1453,"RAVIGNANI, EMILIO, DR, ",,,,
1753959/2011,OBRA NUEVA,2011-10-05,ENERO,2012,347.64,NAZCA 3660,071-042-035,-34.5943491102727,-58.4950353356921,3660,NAZCA ,Agronomia,Comuna 15,1419,C1419DEO
1774449/2011,OBRA NUEVA,2011-10-07,ENERO,2012,1362.35,DIRECTORIO 1709,042-017-028,-34.6309632870404,-58.4513179218812,1709,DIRECTORIO ,Flores,Comuna 7,1406,C1406GZG
1774316/2011,DEMOLICION TOTAL,2011-10-07,ENERO,2012,115.93,GAMARRA 1390,061-053-001,-34.5846937694554,-58.4752533246359,1390,GAMARRA ,Parque Chas,Comuna 15,1427,C1427AYF
1795745/2011,MODIFICACION Y DEMOLICION PARCIAL,2011-10-12,ENERO,2012,338.84,SOLIS 2184,016-027-019,-34.6339173209296,-58.3880087819691,2184,SOLIS ,Constitucion,Comuna 1,1134,C1134ADT
1798022/2011,MODIFICACION Y DEMOLICION PARCIAL,2011-10-12,ENERO,2012,32.05,"RODRIGUEZ, PIO 5370",093-199A-008,-34.6131725577394,-58.5277458954436,5370,"RODRIGUEZ, PIO ",Villa Real,Comuna 10,1419,C1419HIB
1798065/2011,OBRA NUEVA,2011-10-12,ENERO,2012,1785.56,GAVILAN 367,065-111-011,-34.6252357356015,-58.4605429599092,367,GAVILAN ,Flores,Comuna 7,1406,C1406BBC
1834155/2011,MODIFICACION Y DEMOLICION PARCIAL,2011-10-17,ENERO,2012,31.43,AMENABAR 128,035-065A-004,-34.5771674619985,-58.4398080817097,128,AMENABAR ,Palermo,Comuna 14,1426,C1426AID
1864878/2011,OBRA NUEVA,2011-10-20,ENERO,2012,1813.26,BOYACA 372,065-130-018,-34.6233206660643,-58.4590107154083,372,BOYACA ,Flores,Comuna 7,1406,C1406BHF
1865267/2011,OBRA NUEVA,2011-10-20,ENERO,2012,2783.56,BOYACA 450,065-123-037,-34.6225146945455,-58.459808479654,450,BOYACA ,Flores,Comuna 7,1406,C1406BHH
1867193/2011,OBRA NUEVA,2011-10-20,ENERO,2012,299.36,LASCANO 3979,081-067-028,-34.614045548581,-58.4970127659997,3979,LASCANO ,Monte Castro,Comuna 10,1417,C1417GZG
1895920/2011,OBRA NUEVA,2011-10-25,ENERO,2012,1020.89,LLERENA 2669,061-052-021,-34.5863419908699,-58.4751667508686,2669,LLERENA ,Parque Chas,Comuna 15,1427,C1427DEE
1916972/2011,OBRA NUEVA,2011-10-27,ENERO,2012,2079.02,BOYACA 1145,059-001-013,-34.6157091471795,-58.4638961261287,1145,BOYACA ,Villa Gral. Mitre,Comuna 11,1416,C1416AAA
1916317/2011,OBRA NUEVA,2011-10-27,ENERO,2012,46.45,"UGARTE, MANUEL 1992",027-046A-003a,-34.5547273233538,-58.4568149759287,1992,"UGARTE, MANUEL ",Belgrano,Comuna 13,1428,C1428BSB
1925165/2011,MODIFICACION Y DEMOLICION PARCIAL,2011-10-28,ENERO,2012,177.52,PINTO 4566,043-088-028,-34.5457281172697,-58.4805505555521,4566,PINTO ,Saavedra,Comuna 12,1429,C1429AQB
1936417/2011,OBRA NUEVA,2011-10-31,ENERO,2012,1585.28,YATAY 549,017-030-017,-34.6059862498836,-58.428148355858,549,YATAY ,Almagro,Comuna 5,1184,C1184ADI
1934074/2011,OBRA NUEVA,2011-10-31,ENERO,2012,721.97,FRANCO 2251,075-112-015,-34.5772917074766,-58.4989429027699,2251,FRANCO ,Villa Pueyrredon,Comuna 12,1419,C1419FHA
1956871/2011,OBRA NUEVA,2011-11-02,ENERO,2012,380.65,CAMPICHUELO 519,045-120-020,-34.6115857842365,-58.4346176526106,519,CAMPICHUELO ,Caballito,Comuna 6,1405,C1405BOG
1958225/2011,OBRA NUEVA,2011-11-02,ENERO,2012,520.18,OLAZABAL 3267,039-044-020,-34.5654063074075,-58.4662923152024,3267,OLAZABAL ,Belgrano,Comuna 13,1428,C1428DIB
1955041/2011,OBRA NUEVA,2011-11-02,ENERO,2012,976.54,"FALCON, RAMON L,,CNEL, 4665",054-029-008,-34.6381528765515,-58.4925000324953,4665,"FALCON, RAMON L,,CNEL, ",Villa Luro,Comuna 10,1407,C1407GTA
1968670/2011,MODIFICACION Y DEMOLICION PARCIAL,2011-11-04,ENERO,2012,71.07,DUPUY 152,095-036-016,-34.6379224045422,-58.5087494587006,152,DUPUY ,Villa Luro,Comuna 10,1408,C1408HRD
1973993/2011,MODIFICACION,2011-11-04,ENERO,2012,892.24,"SALGUERO, JERONIMO 1639",019-099-020a,-34.5917082238877,-58.4167641244646,1639,"SALGUERO, JERONIMO ",Palermo,Comuna 14,1425,C1425DEA
1973832/2011,OBRA NUEVA,2011-11-04,ENERO,2012,0,YERBAL 6012,095-034-002,-34.6387618253771,-58.5099722499828,6012,YERBAL ,Liniers,Comuna 9,1408,C1408ACJ
1970118/2011,MODIFICACION Y DEMOLICION PARCIAL,2011-11-04,ENERO,2012,368.41,CORRIENTES 5253,031-003-014a,-34.599669654954,-58.4385052051883,5253,CORRIENTES ,Villa Crespo,Comuna 15,1414,C1414AJF
1986342/2011,OBRA NUEVA,2011-11-07,ENERO,2012,679.7,"FALCON, RAMON L,,CNEL, 4916",060-134-002,-34.6389457268741,-58.4959843989538,4916,"FALCON, RAMON L,,CNEL, ",Villa Luro,Comuna 10,1407,C1407GTH
1988591/2011,,2011-11-07,ENERO,2012,27.3,"ALSINA, ADOLFO 1338",012-037-018a,-34.6118099301011,-58.3847899795738,1338,"ALSINA, ADOLFO ",Monserrat,Comuna 1,1088,C1088AAJ
1984792/2011,OBRA NUEVA,2011-11-07,ENERO,2012,1867.87,"BEIRO, FRANCISCO 3390",081-157-011,-34.5996011501072,-58.4999054015367,3390,"BEIRO, FRANCISCO ",Villa Del Parque,Comuna 11,1419,C1419HYU
1983562/2011,OBRA NUEVA,2011-11-07,ENERO,2012,2715.92,MENDOZA 5449,051-031-022a,-34.5793764750779,-58.4867494694264,5449,MENDOZA ,Villa Urquiza,Comuna 12,1431,C1431CIS
1987210/2011,OBRA NUEVA,2011-11-07,ENERO,2012,449.62,"LARRALDE, CRISOLOGO 6152",063-021-006,-34.5686648052965,-58.5049612561106,6152,"LARRALDE, CRISOLOGO ",Villa Urquiza,Comuna 12,1431,C1431AQD
1983841/2011,OBRA NUEVA,2011-11-07,ENERO,2012,2526.68,GUARDIA VIEJA 4145,017-073-022,-34.600581215587,-58.4222818077646,4145,GUARDIA VIEJA ,Almagro,Comuna 5,1192,C1192AAQ
1997127/2011,OBRA NUEVA,2011-11-08,ENERO,2012,1836.08,BLANCO ENCALADA 5538,051-014-004,-34.5793700934778,-58.490938664526,5538,BLANCO ENCALADA ,Villa Urquiza,Comuna 12,1431,C1431CDX
2006022/2011,OBRA NUEVA,2011-11-09,ENERO,2012,2491.02,LA RIOJA 492,028-054-020,-34.6167322136594,-58.4073338245586,492,LA RIOJA ,Balvanera,Comuna 3,1214,C1214ADJ
2004612/2011,OBRA NUEVA,2011-11-09,ENERO,2012,683.03,ZAPIOLA 1566,037-091-025,-34.5717460091216,-58.4572724940613,1566,ZAPIOLA ,Colegiales,Comuna 13,1426,C1426AUF
2031061/2011,MODIFICACION,2011-11-11,ENERO,2012,950.75,BONPLAND 2339,035-113-013c,-34.5791097716618,-58.4304248689297,2339,BONPLAND ,Palermo,Comuna 14,1425,C1425FWE
2019685/2011,,2011-11-11,ENERO,2012,113.53,PASAJE INGLATERRA 3173,071-089A-009,-34.5974067971667,-58.4862977372974,3173,PASAJE INGLATERRA ,Agronomia,Comuna 15,1417,C1417DFA
2065448/2011,OBRA NUEVA,2011-11-16,ENERO,2012,0,"MORAN, PEDRO 3851",083-098-010,-34.6007789672319,-58.5084287058836,3851,"MORAN, PEDRO ",Villa Devoto,Comuna 11,1419,C1419HKS
2076693/2011,MODIFICACION,2011-11-17,ENERO,2012,0,MILLER 2251,051-083-016,-34.5736305229853,-58.4784498620681,2251,MILLER ,Villa Urquiza,Comuna 12,1431,C1431GDI
2072502/2011,OBRA NUEVA,2011-11-17,ENERO,2012,58.15,BELGRANO 2885,028-066-009b,-34.6150143071945,-58.405400885613,2885,BELGRANO ,Balvanera,Comuna 3,1209,C1209AAA
2084431/2011,OBRA NUEVA,2011-11-18,ENERO,2012,1046.81,VIDAL 2678,041-109-028,-34.5597756816822,-58.4642117834116,2678,VIDAL ,Belgrano,Comuna 13,1428,C1428CSR
2083092/2011,OBRA NUEVA,2011-11-18,ENERO,2012,230.43,ACHEGA 3308,063-018-030,-34.5720021062804,-58.5017205468286,3308,ACHEGA ,Villa Urquiza,Comuna 12,1431,C1431ETJ
2097823/2011,OBRA NUEVA,2011-11-21,ENERO,2012,150.25,LOPE DE VEGA 2036,093-186A-005,-34.6221397834244,-58.51490206962,2036,LOPE DE VEGA ,Monte Castro,Comuna 10,1417,C1417COQ
2108363/2011,OBRA NUEVA,2011-11-22,ENERO,2012,24.34,BESARES 1715,029-084A-016,-34.5422633039911,-58.463886484946,1715,BESARES ,Nu\u00f1ez,Comuna 13,1429,C1429DHC
2108193/2011,OBRA NUEVA,2011-11-22,ENERO,2012,49.29,BESARES 1715,029-084A-016,-34.5422633039911,-58.463886484946,1715,BESARES ,Nu\u00f1ez,Comuna 13,1429,C1429DHC
2109692/2011,OBRA NUEVA,2011-11-22,ENERO,2012,1535.68,SAN JOSE DE CALASANZ 770,040-048-022,-34.6285082747394,-58.4364042880627,770,SAN JOSE DE CALASANZ ,Caballito,Comuna 6,1424,C1424AHP
2111390/2011,AMPLIACION,2011-11-23,ENERO,2012,55.15,ZAPIOLA 3069,041-091-012,-34.5576524847476,-58.4698201103209,3069,ZAPIOLA ,Nu\u00f1ez,Comuna 13,1429,C1429ANC
2119884/2011,OBRA NUEVA,2011-11-23,ENERO,2012,274.44,"DANTAS, JULIO S, 3385",079-134B-013,-34.6121132943145,-58.4888453441472,3385,"DANTAS, JULIO S, ",Villa Santa Rita,Comuna 11,1407,C1407GLA
2122919/2011,MODIFICACION Y DEMOLICION PARCIAL,2011-11-23,ENERO,2012,156.76,MORENO 3553,028-006-014,-34.6147916244137,-58.4160134388276,3553,MORENO ,Almagro,Comuna 5,1209,C1209ABO
2110750/2011,OBRA NUEVA,2011-11-23,ENERO,2012,1007.94,INDEPENDENCIA 2011,020-051-040,-34.6185594840188,-58.3941852452269,2011,INDEPENDENCIA ,Balvanera,Comuna 3,1225,C1225AAC
2140143/2011,OBRA NUEVA,2011-11-24,ENERO,2012,199.86,"VARELA, JOSE PEDRO 5616",093-142-002,-34.6188446804016,-58.5255512274209,5616,"VARELA, JOSE PEDRO ",Villa Real,Comuna 10,1408,C1408BJH
2156251/2011,OBRA NUEVA,2011-11-25,ENERO,2012,374.72,ARAUJO 1078,062-110-017,-34.64811417022,-58.4957714007252,1078,ARAUJO ,Mataderos,Comuna 9,1440,C1440DLL
2153055/2011,MODIFICACION Y DEMOLICION PARCIAL,2011-11-25,ENERO,2012,154.48,GALVAN 3129,053-034-018,-34.5669795187211,-58.4868963397043,3129,GALVAN ,Villa Urquiza,Comuna 12,1431,C1431FVE
2171393/2011,OBRA NUEVA,2011-11-29,ENERO,2012,1266.27,FONROUGE 86,060-028-026,-34.6406974920849,-58.5139958332684,86,FONROUGE ,Liniers,Comuna 9,1408,C1408HFB
2168264/2011,OBRA NUEVA,2011-11-29,ENERO,2012,1706.79,MENDEZ DE ANDES 457,045-055-020,-34.6130159068921,-58.440490901716,457,MENDEZ DE ANDES ,Caballito,Comuna 6,1405,C1405CVA
2173733/2011,OBRA NUEVA,2011-11-29,ENERO,2012,0,CORRIENTES 6395,033-008-021,-34.5902615689182,-58.4486323254888,6395,CORRIENTES ,Chacarita,Comuna 15,1427,C1427BPB
2169339/2011,MODIFICACION Y DEMOLICION PARCIAL,2011-11-29,ENERO,2012,0,SAN BLAS 3721,079-083-017c,-34.6174992254335,-58.4905313283926,3721,SAN BLAS ,Villa Santa Rita,Comuna 11,1407,C1407FTI
2180599/2011,OBRA NUEVA,2011-11-30,ENERO,2012,1478.85,"BORDABEHERE, ENZO 2930",069-074-020,-34.6000338772191,-58.4813330230374,2930,"BORDABEHERE, ENZO ",Villa Del Parque,Comuna 11,1417,C1417DMJ
2182209/2011,OBRA NUEVA,2011-11-30,ENERO,2012,61.8,"PEREZ, ROQUE 4538",043-038-027,-34.5478499545274,-58.4840852848744,4538,"PEREZ, ROQUE ",Saavedra,Comuna 12,1430,C1430FCP
2180081/2011,OBRA NUEVA,2011-11-30,ENERO,2012,1295.75,VIDAL 1710,037-125-022b,-34.5680196445342,-58.4571540590727,1710,VIDAL ,Belgrano,Comuna 13,1426,C1426AMH
2182529/2011,MODIFICACION Y DEMOLICION PARCIAL,2011-11-30,ENERO,2012,243.85,PLAZA 4166,055-227-008a,-34.5532197367045,-58.4867771761619,4166,PLAZA ,Saavedra,Comuna 12,1430,C1430DIX
